,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,cruise_control
0,Mercedes-Benz,A-CLASS,210000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,0,0
1,BMW,7 SERIES,284700.0,2019,1,258.0,0,hybrid,2.0,0,0,1,0,1
2,Alfa Romeo,GIULIA,92400.0,2018,1,197.0,0,petrol,2.0,0,1,1,1,0
3,Mercedes-Benz,S-CLASS,285900.0,2017,2,258.0,0,diesel,3.0,0,1,1,1,0
4,BMW,3 SERIES,299000.0,2024,1,156.0,0,petrol,2.0,1,1,1,0,0
5,Toyota,SEQUOIA,120000.0,2008,4,381.0,1,petrol,5.8,1,0,0,0,0
6,Hyundai,SANTA FE,92500.0,2017,1,192.0,1,petrol,2.4,1,1,1,0,0
7,Skoda,KAROQ,82300.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1
8,Skoda,KAROQ,99000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1
9,Hyundai,I20,74000.0,2020,2,100.0,0,petrol,1.0,1,0,1,0,0
10,Renault,CLIO ESTATE,27800.0,2016,3,118.0,0,petrol,1.2,0,1,1,1,0
11,Jeep,COMPASS,129000.0,2021,1,150.0,0,petrol,1.3,0,1,1,0,1
12,Seat,LEON,105000.0,2018,5,290.0,0,petrol,2.0,1,1,0,1,0
13,Alfa Romeo,MITO,70000.0,2018,2,170.0,0,petrol,1.4,1,1,0,1,0
14,Audi,Q2,86800.0,2017,1,150.0,0,petrol,1.4,1,1,1,0,0
15,Land Rover,RANGE ROVER SPORT,382400.0,2019,2,404.0,0,hybrid,2.0,1,0,0,0,0
16,Jeep,WRANGLER,250000.0,2019,4,280.0,1,petrol,3.6,1,1,0,0,1
17,Mercedes-Benz,SPRINTER,195000.0,2021,1,143.0,0,diesel,2.1,1,0,1,0,1
18,Porsche,CAYENNE,510000.0,2021,1,340.0,1,petrol,3.0,1,1,0,0,1
19,Citroen,BERLINGO,53000.0,2018,3,100.0,0,diesel,1.6,1,0,1,1,0
20,Dodge,RAM,189900.0,2022,1,370.0,1,petrol,6.7,1,0,0,0,0
21,Nissan,MICRA,40000.0,2018,1,80.0,0,petrol,1.2,1,0,0,0,0
22,Nissan,QASHQAI,63000.0,2017,2,130.0,0,diesel,1.6,0,1,1,1,0
23,Hyundai,IONIQ,116900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0
24,Suzuki,IGNIS,70000.0,2021,1,83.0,0,hybrid,1.2,0,1,1,0,0
25,Hyundai,I10,72900.0,2021,1,84.0,0,petrol,1.2,1,1,1,0,0
26,Mazda,3,54900.0,2016,1,120.0,0,petrol,1.5,1,1,0,1,0
27,Nissan,QASHQAI,100000.0,2019,1,115.0,0,petrol,1.2,0,1,1,0,0
28,BMW,7 SERIES,77000.0,2014,6,258.0,0,petrol,3.0,1,1,0,0,0
29,Kia,SPORTAGE,88000.0,2019,1,155.0,0,petrol,2.0,0,1,1,0,0
30,Mercedes-Benz,GLC,455000.0,2023,1,204.0,1,petrol,2.0,0,1,1,0,0
31,Hyundai,SONATA HYBRID,3000.0,2019,2,154.0,0,hybrid,2.0,0,1,1,0,1
32,Kia,PICANTO,79800.0,2022,1,84.0,0,petrol,1.2,0,1,1,0,0
33,Chevrolet,TRAX,44900.0,2017,1,140.0,0,electric,1.4,0,1,1,1,0
34,Nissan,X-TRAIL,115000.0,2020,2,150.0,1,diesel,1.7,0,1,1,1,0
35,Skoda,OCTAVIA,99800.0,2021,1,110.0,0,petrol,1.0,1,0,0,0,0
36,Toyota,COROLLA HYBRID,111900.0,2022,1,98.0,0,hybrid,1.8,0,1,1,0,0
37,Chevrolet,TRAX,69000.0,2019,2,140.0,0,electric,1.4,1,1,1,0,0
38,Citroen,BERLINGO,79000.0,2020,1,130.0,0,diesel,1.5,1,0,1,1,0
