,Unnamed: 0,brand,model,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,country
0,0,Mercedes-Benz,A-CLAss,210000.0,2022,1,160.0,0,hybrid,1.3,1,0,0,0,0,0,Germany
1,1,BMW,7 Series,284700.0,2019,1,258.0,0,hybrid,2.0,0,0,1,0,1,1,Germany
2,2,Alfa Romeo,Giulia,92400.0,2018,1,197.0,0,petrol,2.0,0,1,1,1,0,0,Italy
3,3,Mercedes-Benz,S-CLAss,285900.0,2017,2,258.0,0,diesel,3.0,0,1,1,1,0,0,Germany
4,4,BMW,3 Series,299000.0,2024,1,156.0,0,petrol,2.0,1,1,1,0,0,0,Germany
5,5,Toyota,Sequoia,120000.0,2008,4,381.0,1,petrol,5.8,1,0,0,0,0,0,Japan
6,6,Hyundai,Santa Fe,92500.0,2017,1,192.0,1,petrol,2.4,1,1,1,0,0,0,South Korea
7,7,Skoda,Karoq,82300.0,2018,2,115.0,0,petrol,1.0,0,1,1,0,1,1,Czech Republic
8,8,Skoda,Karoq,99000.0,2019,2,150.0,0,petrol,1.5,0,1,1,0,1,1,Czech Republic
9,9,Hyundai,i20,74000.0,2020,2,100.0,0,petrol,1.0,1,0,1,0,0,0,South Korea
10,10,Renault,Clio Estate,27800.0,2016,3,118.0,0,petrol,1.2,0,1,1,1,0,0,France
11,11,Jeep,Compass,129000.0,2021,1,150.0,0,petrol,1.3,0,1,1,0,1,1,United States
12,12,Seat,Leon,105000.0,2018,5,290.0,0,petrol,2.0,1,1,0,1,0,0,Spain
13,13,Alfa Romeo,Mito,70000.0,2018,2,170.0,0,petrol,1.4,1,1,0,1,0,0,Italy
14,14,Audi,Q2,86800.0,2017,1,150.0,0,petrol,1.4,1,1,1,0,0,0,Germany
15,15,Land Rover,Range Rover Sport,382400.0,2019,2,404.0,0,hybrid,2.0,1,0,0,0,0,0,United Kingdom
16,16,Jeep,Jeep Wrangler,250000.0,2019,4,280.0,1,petrol,3.6,1,1,0,0,1,1,United States
17,17,Mercedes-Benz,Sprinter,195000.0,2021,1,143.0,0,diesel,2.1,1,0,1,0,1,1,Germany
18,18,Porsche,Cayenne,510000.0,2021,1,340.0,1,petrol,3.0,1,1,0,0,1,1,Germany
19,19,Citroen,Berlingo,53000.0,2018,3,100.0,0,diesel,1.6,1,0,1,1,0,0,France
20,20,Dodge,Ram,189900.0,2022,1,370.0,1,petrol,6.7,1,0,0,0,0,0,United States
21,21,Nissan,Micra,40000.0,2018,1,80.0,0,petrol,1.2,1,0,0,0,0,0,Japan
22,22,Nissan,Qashqai,63000.0,2017,2,130.0,0,diesel,1.6,0,1,1,1,0,0,Japan
23,23,Hyundai,Ioniq,116900.0,2021,1,141.0,0,hybrid,1.6,0,1,1,0,0,0,South Korea
24,24,Suzuki,Ignis,70000.0,2021,1,83.0,0,hybrid,1.2,0,1,1,0,0,0,Japan
25,25,Hyundai,i10,72900.0,2021,1,84.0,0,petrol,1.2,1,1,1,0,0,0,South Korea
26,26,Mazda,3,54900.0,2016,1,120.0,0,petrol,1.5,1,1,0,1,0,0,Japan
27,27,Nissan,Qashqai,100000.0,2019,1,115.0,0,petrol,1.2,0,1,1,0,0,0,Japan
28,28,BMW,7 Series,77000.0,2014,6,258.0,0,petrol,3.0,1,1,0,0,0,0,Germany
29,29,Kia,Sportage,88000.0,2019,1,155.0,0,petrol,2.0,0,1,1,0,0,0,South Korea
30,30,Mercedes-Benz,GLC,455000.0,2023,1,204.0,1,petrol,2.0,0,1,1,0,0,0,Germany
31,31,Hyundai,Sonata Hybrid,3000.0,2019,2,154.0,0,hybrid,2.0,0,1,1,0,1,1,South Korea
32,32,Kia,Picanto,79800.0,2022,1,84.0,0,petrol,1.2,0,1,1,0,0,0,South Korea
33,33,Chevrolet,Trax,44900.0,2017,1,140.0,0,electric,1.4,0,1,1,1,0,0,United States
34,34,Nissan,X-Trail,115000.0,2020,2,150.0,1,diesel,1.7,0,1,1,1,0,0,Japan
35,35,Skoda,Octavia,99800.0,2021,1,110.0,0,petrol,1.0,1,0,0,0,0,0,Czech Republic
36,36,Toyota,Corolla Hybrid,111900.0,2022,1,98.0,0,hybrid,1.8,0,1,1,0,0,0,Japan
37,37,Chevrolet,Trax,69000.0,2019,2,140.0,0,electric,1.4,1,1,1,0,0,0,United States
38,38,Citroen,Berlingo,79000.0,2020,1,130.0,0,diesel,1.5,1,0,1,1,0,0,France
39,39,Lexus,RX350,25000.0,2007,5,276.0,1,petrol,3.5,1,1,0,0,0,0,Japan
40,40,Nissan,Qashqai,43375.0,2015,3,115.0,0,petrol,1.2,1,1,0,1,0,0,Japan
41,41,Chevrolet,Savanna,147000.0,2020,1,181.0,0,diesel,4.5,1,0,0,0,0,0,United States
42,42,Jeep,Jeep Wrangler,300000.0,2021,1,272.0,1,petrol,2.0,1,1,0,0,0,0,United States
43,43,Citroen,Berlingo,65000.0,2019,1,100.0,0,diesel,1.6,1,0,1,1,0,0,France
44,44,Chevrolet,Spark,42000.0,2017,2,98.0,0,electric,1.4,1,0,1,0,0,0,United States
45,45,Volkswagen,Tiguan,200000.0,2022,1,190.0,1,petrol,2.0,0,0,1,0,1,1,Germany
46,46,Land Rover,Range Rover Sport,380000.0,2020,1,300.0,1,petrol,2.0,1,0,0,0,0,0,United Kingdom
47,47,Subaru,Forester,42000.0,2011,3,150.0,1,petrol,2.0,1,0,0,0,0,0,Japan
